region,office,search,address,phone1,phone2
চট্টগ্রাম বিভাগ,"উখিয়া, কক্সবাজার - সওদাগর",ukhiya coxs bajar,"কিং কম্পিউটার এন্ড সার্ভিসিং সেন্টার, গাউছিয়া মার্কেট নুর হোটেলের পাশে, উখিয়া, কক্সবাজার।",01313-362328,09639-333899
চট্টগ্রাম বিভাগ,"টেকনাফ, কক্সবাজার - সওদাগর",teknaf coxs bajar,"মেসার্স শফিয়া এন্ড স্নেহা এন্টারপ্রাইজ, শানুর আমগাছতলা মেইন রোড, টেকনাফ, কক্সবাজার।",01313-362290,09639-333900
চট্টগ্রাম বিভাগ,"চাটখালী, নোয়াখালী - সওদাগর",chatkhali noakhali,"স্কয়ার হসপিটাল সংলগ্ন, বদলকোর্ট রোড, চাটখালী, নোয়াখালী।",01958-599748,09639-333901
খুলনা বিভাগ,"নলতা, সাতক্ষীরা - সওদাগর",nolta satkhira,"এস.এস. এন্টারপ্রাইজ, হক মার্কেট, নলতা শরীফ, কালীগঞ্জ, সাতক্ষীরা।",01958-599747,09639-333902
বরিশাল বিভাগ,"লালমোহন, ভোলা - সওদাগর",lalmohon vola,"উপজেলা সড়ক, দক্ষিনবাজার, লালমোহন, ভোলা।",01313-362299,09639-333903
বরিশাল বিভাগ,"আমতলী, বরগুনা - সওদাগর",amtoli borguna,প্রস্তাবিত,01313-362249,09639-333904
বরিশাল বিভাগ,বাকেরগঞ্জ - সওদাগর,bakerganj barishal,প্রস্তাবিত,01958-599758,09639-333905
বরিশাল বিভাগ,খেপুপাড়া (কলাপাড়া) - সওদাগর,khepupara kolapara barishal,প্রস্তাবিত,01958-599763,09639-333906
বরিশাল বিভাগ,মির্জাগঞ্জ - সওদাগর,mirjaganj barishal,প্রস্তাবিত,01313-362315,09639-333907
রাজশাহী বিভাগ,"আক্কেলপুর, জয়পুরহাট - সওদাগর",akkelpur joypurhat,"মেসার্স হারুন ব্যাটারি, পুরাতন বাজার, আক্কেলপুর, জয়পুরহাট।",01958-599742,09639-333908
রাজশাহী বিভাগ,"মহাদেবপুর, নওগাঁ - সওদাগর",mohadebpur nouga,"উপজেলা পরিষদ, ১ নং গেইটের দক্ষিনপার্শ্বে, মহাদেবপুর, নওগাঁ।",01313-362331,09639-333909
রাজশাহী বিভাগ,"নজিপুর, নওগাঁ - সওদাগর",nojipur nouga,"হক বিনোদন মার্কেট, ধামুইরহাট রোড, নজিপুর, নওগাঁ।",01313-362302,09639-333910
রাজশাহী বিভাগ,"সাপাহার, নওগাঁ - সওদাগর",sapahar nouga,"চৌধুরী প্লাজা ওয়াল্টন মোড়, সাপাহার, নওগাঁ।",01313-362305,09639-333911
রাজশাহী বিভাগ,"মান্দা, নওগাঁ - সওদাগর",manda nouga,"সাতিহাট বাজার, মান্দা, নওগাঁ।",01313-362248,09639-333912
রাজশাহী বিভাগ,"নিয়ামতপুর, নওগাঁ - সওদাগর",niyamotpur nouga,"তিন মাথারমোড়, নিয়ামতপুর, নওগাঁ।",01958-599752,09639-333913
রাজশাহী বিভাগ,"দুপচাঁচিয়া, বগুড়া - সওদাগর",dupcaciya bogura,"ওবাইদুল মার্কেট, সিও অফিস বাসস্ট্যান্ড, দুপচাঁচিয়া, বগুড়া।",01313-362318,09639-333914
রাজশাহী বিভাগ,"মাঝিরা, বগুড়া - সওদাগর",majhira bogura,"মেজর হাকিম মার্কেট, মাঝিরা ক্যান্টনমেন্ট, বগুড়া।",01313-362332,09639-333915
রাজশাহী বিভাগ,"উল্লাপাড়া, সিরাজগঞ্জ - সওদাগর",ullapara sirajganj,"যুবসংঘ মার্কেট (কেয়া হাসপাতালের সামনে) শ্যমলীপাড়া বাসস্ট্যান্ড, উল্লাপাড়া, সিরাজগঞ্জ।",01313-362285,09639-333916
রংপুর বিভাগ,"ঘোড়াঘাট, দিনাজপুর - সওদাগর",ghoraghat dinajpur,"ঘোষমার্কেট, গোবিন্দগঞ্জ রোড, ইসলামপুর মোড়, ২৪৫ শ্রমিক অফিসের অপজিটে, ঘােড়াঘাট, দিনাজপুর।",01313-362329,09639-333917
রংপুর বিভাগ,"বীরগঞ্জ, দিনাজপুর - সওদাগর",birganj dinajpur,"বীরগঞ্জ কলেজ রোড, ঠাকুরগাঁও বাস স্ট্যান্ড, সংলগ্ন পশ্চিমে বজিরউদ্দিন মার্কেট, বীরগঞ্জ, দিনাজপুর।",01313-362308,09639-333918
রংপুর বিভাগ,"দেবীগঞ্জ, নীলফামারী - সওদাগর",debiganj nilphamari,"পুরাতন বাসস্ট্যান্ড, দেবীগঞ্জ, নীলফামারী।",01313-362312,09639-333919
রংপুর বিভাগ,"ডোমার, নীলফামারী - সওদাগর",domar nilphamari,"সরকারী কলেজ গেইট সংলগ্ন, দেবীগঞ্জ রোড, ডোমার, নীলফামারী।",01313-362313,09639-333920
রংপুর বিভাগ,"পলাশবাড়ী, গাইবান্ধা - সওদাগর",polashbari gaibandha,"গিরীধারীপুর (বেলেরঘাট রোড), পলাশবাড়ী, গাইবান্দা।",01313-362295,09639-333921
রংপুর বিভাগ,"বোদা, পঞ্চগড় - সওদাগর",boda ponchogar,"বাইপাস মোড়, পৌরসভা সংলগ্ন নাজির পাড়া, বোদা, পঞ্চগড়।",01313-362319,09639-333922
রংপুর বিভাগ,রানীর বন্দর - সওদাগর,ranir bondor,প্রস্তাবিত,01958-599766,09639-333923
